,Difference (|)
615,-63.36099290342156
616,-62.21357374431016
617,-80.4588556880912
618,-66.09920745693152
619,-65.4564593463714
620,-57.185702570842324
621,-66.19008386793385
622,-60.91676660830321
623,-65.87940657776525
624,-72.46437323823669
625,-64.10207609190712
626,-57.22586347059641
627,-70.96656351867402
628,-62.97512763144666
629,-57.554319851589774
630,-67.1370847249785
631,-71.77356653942715
632,-65.61892528250239
633,-75.91254519216099
634,-62.84086358096712
635,-75.8606499985107
636,-59.06269132808368
637,-50.45892974791701
638,-51.434105023281035
639,-67.96674453371298
640,-72.23958771009909
641,-53.623460839065935
642,-59.93119958885864
643,-54.58149445267184
644,-56.61108813605465
645,-58.77430152103447
646,-70.41473246640369
647,-62.49986492133586
648,-54.86600514977881
649,-46.75511754464127
650,-65.38159471504459
651,-55.7911346715224
652,-62.398306240105605
653,-69.70794183766063
654,-52.862758309559666
655,-47.995550762613114
656,-64.00374882566504
657,-60.44189423456788
658,-64.5384000107001
659,-53.11234762679173
660,-58.735103460714676
661,-58.74820700585872
662,-58.920225219663976
663,-69.09483954427961
664,-58.963440980518854
665,-67.81785504740604
666,-60.11913439080489
667,-56.797145823270675
668,-61.46477662419119
669,-52.94930284337129
670,-51.31283880673644
671,-59.052844618153884
672,-62.033230170560614
673,-61.00469429083629
674,-53.456134622161365
675,-70.33587399986553
676,-69.8856747697258
677,-61.32038299645229
678,-62.6690195999132
679,-59.68717776955708
680,-45.60588973341519
681,-70.17232364010343
682,-52.534278236127186
683,-64.34912537511087
684,-54.817854292890445
685,-56.139101569273414
686,-48.85742834013242
687,-49.45270764555515
688,-66.41730217452029
689,-65.54361818445854
690,-49.11941988384209
691,-51.777841434251215
692,-53.76221391426377
693,-68.30060098290299
694,-50.45686797219515
695,-66.78398876960166
696,-56.73194348307574
697,-68.61242536099573
698,-52.91498161821982
699,-60.9006072681347
700,-48.17378732671427
701,-61.588713867903564
702,-60.21729330609735
703,-66.35615623879313
704,-64.1711664781069
705,-56.76667263601812
706,-46.782588816722836
707,-59.936119375921116
708,-50.113872508194184
709,-61.16697594516883
710,-59.38421026097472
711,-59.08630126901982
712,-46.06505324236534
713,-56.17701814156827
714,-46.50815152636821
715,-56.962475413567084
716,-67.66319508947623
717,-56.07892744126083
718,-64.34253958993175
