,Difference (|)
1289,10845.653775579529
1290,41.30598628200948
1291,18.748327658226096
1292,12.056599539755531
1293,88.89117986198504
1294,30.211166221173773
1295,35.30648843285905
1296,123.28388376435659
1297,225.36118343320598
1298,7635.331725200549
1299,43.03268928890473
1300,25.688123468373835
1301,125.4696731561757
1302,46.872596095836755
1303,139.10893171020527
1304,66.80374620609193
1305,40.41761815384423
1306,13.849406700093713
1307,3002.916080757068
1308,461.9434466234134
1309,794.5062682362912
1310,77.34921330590271
1311,157.21926640497168
1312,26.88415473444634
1313,7.05921344065758
1314,49.86339294449924
1315,51.8653202036846
1316,15.012637070923974
1317,12.987384563396567
1318,390.62676705015974
1319,8.699193765782871
1320,153.60836176902384
1321,157.68598995977294
1322,576.7056921173751
1323,153.6036053809176
1324,155.26909411840683
1325,232.2669747065351
1326,276.47025526727504
1327,1452.6245727535468
1328,73.92338451483634
1329,212.10450185415536
1330,14.523397966202737
1331,131.46615290146462
1332,21.87705205735452
1333,20.734705962094434
1334,33.42279920659493
1335,169.35234179523346
1336,1979.352596113502
1337,50.46628611958055
1338,203.2343115092445
1339,97.42577391415645
1340,121.9363669106456
1341,372.53208875120237
1342,173.06707299402422
1343,266.9389728833776
1344,261.029370308965
1345,549.4325889111221
1346,125.29556514799361
1347,232.109574094786
1348,59.23972572928586
