,Difference (+)
1128,31.598486159429918
1129,65.71697427988909
1130,44.74747194870015
1131,16.75330350837654
1132,266.5494089823078
1133,28.463983673881284
1134,141.90020923280258
1135,41.139370742412886
1136,11.714194918611206
1137,27.567705978372107
1138,3669.5263537435085
1139,13.000359104691398
1140,92.24755217552007
1141,55.08549309181712
1142,55.37440466865144
1143,43.52359028328701
1144,1215.4489048622022
1145,66.08142987887769
1146,25.77868683913428
1147,7.698657662556072
1148,53.582144802755735
1149,43.29393833956919
1150,155.29672350957304
1151,133.65941927230267
1152,65.0022392019826
1153,75.68640468712005
1154,1506.7812231515757
1155,1702.9096116447995
1156,20.623047645513246
1157,167.1064400759459
1158,136.44878781998537
1159,106.67374903168282
1160,77.85486385615707
1161,32.8496775724327
1162,30.057380873221398
1163,22.468540883599882
1164,170.3658198954355
1165,5202.722586766516
1166,26.038927434650816
1167,151.15624086593374
1168,63.860794829709725
1169,481.4552218111016
1170,78.16411031478474
1171,22.210294691426622
1172,10.924082961220039
1173,2050.1938425937456
1174,75.85805928064319
1175,527.4345301547908
1176,20.002017683821535
1177,471.6499405477565
1178,77.9627673146423
1179,16.85393891759511
1180,198.98740144045024
1181,12.227109918063839
1182,7.90144829264953
1183,40.681473178446474
1184,43.46363632803156
1185,2241.501559829894
1186,1860.6787517418743
1187,509.4148473506196
1188,92.47251898288499
1189,2946.379454132585
1190,17.54740755421747
1191,74.35470339146595
1192,44.84154666255501
1193,4414.621957540416
1194,57.47771286570187
1195,65.09652496766154
1196,513.2576347748529
1197,31926.78227906725
1198,125.55887281696845
1199,9807.361308031566
1200,77.21860116342526
1201,3859.36595253625
1202,71.93872019922682
1203,136.2123746420948
1204,7192.187982837064
1205,141.38237212398022
1206,27.21376488550069
1207,106.77557824464937
1208,74.89884365806196
1209,92.94092560091212
1210,466.10350487046674
1211,6.459836196332858
1212,27.32768487332814
1213,37601.79499221474
1214,17.860307096243456
1215,61.07970455692599
1216,55.8692244601847
1217,27.283837525309814
1218,14.38725883205902
1219,22.05808086049006
1220,92.98191510771133
1221,50.51890213782123
1222,539.2428894821013
1223,266.0211117334555
1224,77.68940595047378
1225,13.13703972186922
1226,18.1094335311129
1227,20.02649624884093
1228,25.308104480461264
1229,12942.226205918481
1230,235.63374808393874
1231,223.5719259273824
1232,2109.2545957889847
1233,23.06359705872772
1234,2319.804342784952
1235,5609.294745266959
1236,20641.119817337567
1237,189.98338928420824
1238,1467.5660636805235
1239,13.732795677976597
1240,1016.6173551211792
1241,547.9357430699839
1242,80.5540518143162
1243,200.1213261443855
1244,28.279894544646776
1245,101.61699979694536
1246,306.03177613262164
1247,6.977192788070413
1248,31.504858237260372
1249,59.495234738393044
1250,55.49207427197616
1251,160.67413319730383
1252,22.174631839140066
1253,184.35504330514672
1254,73.25616070691844
1255,361.3244984771525
1256,302.50963684959925
1257,1259.8985459825853
1258,65.49494075815564
1259,650.9077177892502
1260,49.74856728612796
1261,25.453236397871706
1262,66.3108400549518
1263,193.15891634741504
1264,305.3865961547669
1265,32.57431573268716
1266,521.1019223944298
1267,64.46582966711057
1268,48.700555616701195
1269,107.66466640968696
1270,401.40325553385645
1271,25.81179858532655
1272,40.644649165609884
1273,21.455587801103825
1274,13.562731560245041
1275,224.77884421569667
1276,22.27079701099957
1277,62.17481239448862
1278,33.422116168673774
1279,121.97659246951027
1280,497.28395821182517
1281,112.39579431472292
1282,170.89162948811602
1283,47.689576658523116
1284,7516.095811424851
1285,7.063161341408501
1286,304.070975616238
1287,292.74020106934705
1288,264.8260294605023
1289,38.861580390486274
1290,84.60849875435044
1291,781.6569873200315
1292,107.27047666181458
1293,16.26908621857405
1294,105.40324578297422
1295,3478.8263489665596
1296,814.058376168409
1297,13.908207485901702
1298,63.52818037525922
1299,190.66422118455486
1300,38.78033283015005
1301,27.579602746563236
1302,3910.1131686413546
1303,11.465074743318208
1304,142.85986856622426
1305,17.043957728514417
1306,158.32775831284815
1307,64.50011125213845
1308,13409.423840273514
1309,167.9200710236513
1310,91.45167297047088
1311,48.91898722208308
1312,37.534098081474305
1313,904.058512102309
1314,32.97459365473955
1315,68.84715327711648
1316,1723.027341961987
1317,121.4501228063676
1318,30.273190185332485
1319,44.520085236590134
1320,235.00112077707402
1321,105.32428580539239
1322,33.30149052663098
1323,79.00529347248185
1324,150.84222897696847
1325,800.7770492973935
1326,135.08392761966843
1327,50.73768157325479
1328,269.2315923867082
1329,259.3907882600613
1330,8.894462366409364
1331,230.559425171959
1332,58.44513629151024
1333,34.84217449587746
1334,31.342406660315262
1335,115.50107105990863
1336,32.867297411155896
1337,104.98040217982664
1338,152.11555789946806
1339,815.1644502371419
1340,1603.2949776979099
1341,27.887835106211366
1342,2338.3382539494232
1343,148.6953154924664
1344,28.256700333196395
1345,108.84206433688259
1346,142.86325831453388
