,Global (+)
960,148.9680830115146
961,830.7406303580918
962,946.4643040227442
963,52.88440431194634
964,22.362014945956457
965,172.20564510508035
966,67.11650038523022
967,18.803062752768657
968,65.9146299338819
969,616.4998715589861
970,23.95467364293296
971,91.52550563139692
972,42.88120441177583
973,15.46792748029677
974,51.907834063693365
975,24.476431065840448
976,29.592573869368934
977,485.14226297154715
978,47.86884720901361
979,18.634613364660353
980,47.94213958021012
981,54.97087066054888
982,12.592350320268487
983,983.0263441616047
984,61.16684653166063
985,17.353744221165094
986,52.66789659359536
987,171.39132536903384
988,17.216385698028045
989,28.13800087982425
990,49.55820624301485
991,23.62072805118844
992,80.95337981947537
993,1258.0551839686152
994,36.972862126160564
995,90.06120747839825
996,16.23742577030153
997,188.1085109090401
998,54.36734655594847
999,35.90305090723279
1000,143.93707235586905
1001,25.5746033680418
1002,684.0015403018931
1003,1051.05285714987
1004,113.30111010322051
1005,40.307275643109016
1006,34.87606613889449
1007,26.563273529144357
1008,90.12071034470341
1009,148.10949871612561
1010,15.217522802071583
1011,25.167926867248227
1012,161.81331928357125
1013,206.65185767002345
1014,107.0662354646132
1015,32.71759261179969
1016,41.392258558971804
1017,145.11820181275752
1018,257.5006093399238
1019,26.170069465794434
1020,69.7949776823853
1021,32.98855116060944
1022,90.80910253157764
1023,126.32155551090565
1024,58.57754443601384
1025,44.33157290763394
1026,157.47425256283128
1027,49.9270892009567
1028,218.9734733778307
1029,42.333133756268055
1030,115.37397122840535
1031,70.2374284037518
1032,14.256015266589705
1033,97.82109107670794
1034,252.1483273950232
1035,73.77914387679314
1036,772.7506974766895
1037,42.888944122262366
1038,69.18011239697118
1039,162.17293117550344
1040,96.22955092734533
1041,17195.211850492335
1042,23.789174069374653
1043,31.60796198548867
1044,1046.4461665603062
1045,213.9626989703689
1046,17.965188023565773
1047,21.552495463836376
1048,66.34503227355846
1049,72.24629564371219
1050,62.319475977200604
1051,33.63289630720627
1052,28.625182674255402
1053,20.498855321392544
1054,202.2898833255368
1055,24.958426765487342
1056,18.39357891016493
1057,35.68359729550199
1058,94.63195714156734
1059,70.0434084768601
1060,34.93247739482187
1061,158.68837579085178
1062,35.47354620458712
1063,151.51654124246747
1064,226.73652519985055
1065,36.173172112088906
1066,43.646857993812084
1067,10.177994442332347
1068,36.73735862962647
1069,33.36505654343826
1070,18.86413517595517
1071,15.240018133108158
1072,14.962613646906133
1073,19.473960208311972
1074,25.126787432067815
1075,281.34204074224374
1076,47.182246529345115
1077,48.45198037438555
1078,80.63175937587877
1079,385.64832609339504
1080,129.71527847391042
1081,40.15390147236192
1082,557.2602209060013
1083,10.314544271403717
1084,205.71401502072388
1085,19.09257324866392
1086,61.417123279051985
1087,14.672103931735185
1088,34.33337423650734
1089,21.224202062179994
1090,101.9065155963318
1091,725.2206229930043
1092,200.62369477645177
1093,180.13672327988587
1094,356.9108126772755
1095,132.9985170836469
1096,477.75723531829203
1097,144.4050911909564
1098,37.170094432523356
1099,109.52991152569898
1100,13.05434311547442
1101,11.745787684835388
1102,46.55658313146577
1103,26.311327216683008
1104,12.989638760911092
1105,58.16258471859558
1106,577.9895125023706
1107,27.499815084441263
1108,31.35148081783999
1109,17.632976758853772
1110,12.737590796821715
1111,109.6292162041911
1112,18.9073901270258
1113,15.741514483927801
1114,66.74646398476153
1115,472.34238127686757
1116,50.65902435849209
1117,346.02454446986593
1118,24.23990641145096
1119,89.92544368671584
1120,124.56226311242163
1121,248.65642136421687
1122,16.386948976676937
1123,60.56826928046532
1124,85.50040471573992
1125,365.4226011763957
1126,82.46711915591617
1127,53.355126506779754
1128,9.091028872650101
1129,211.40415823826308
1130,642.931750492254
1131,52.21694210546492
1132,45.767321180424595
1133,53.5788412948496
1134,106.55164263399448
1135,454.2406590062377
1136,81.83866434180702
1137,43.02385468650203
1138,21.923835900815885
1139,200.0252559631372
1140,391.7789599345953
1141,76.99546368341625
1142,196.24928379452336
1143,49.96805792899238
1144,63.42156256200905
1145,334.1044519597665
1146,47.38304960398401
1147,12.09805865174954
1148,43.16365830636631
1149,28.783419216199793
1150,22.323356175005646
1151,117.49725438290544
1152,159.87233096068545
1153,15.995507332856398
1154,34.01790850699886
1155,202.84928607398422
1156,27.605907058549327
1157,21.19660456555869
1158,20.594224811222023
1159,92.54466244669261
1160,30.200802227663708
1161,37.66894540440301
1162,67.2449490313597
1163,215.8084573177823
1164,45.44613959110913
1165,18277.90787989833
1166,19.95181296813149
1167,334.84794182879585
1168,325.01925941736374
1169,18.41489704454023
1170,39.87582412344904
1171,462.78540802525987
1172,9.64941714023954
1173,104.11111139818621
1174,23.80235233628253
1175,130.36463915558036
1176,21.60599273254092
1177,14244.013561838403
1178,19.08380129249677
1179,295.5254499347797
1180,79.8563016342816
1181,967.9438665016702
1182,38.26182136311165
1183,395.93395101059707
1184,1953.3206203123646
1185,3426.3801431987536
1186,26.179167121276397
1187,857.5506203571489
1188,196.7885796789136
1189,29.0591820010056
1190,12.805705577936935
1191,12.572937070944077
1192,27.007252825822018
1193,46.62434953994201
1194,39.33566940321398
1195,99.06986706155786
1196,24.423619329361244
1197,37.52404155670802
1198,66.23699177058857
1199,1633.1919528694914
1200,31.179857855969868
1201,37.32059651441676
1202,83.77832188854873
1203,107.18174736647073
1204,20.885843568810525
1205,53.59901771132683
1206,105.43748920682228
