,Global
967,5616.306791975386
968,20116.74853017685
969,39106.06968259849
970,40685.551318139806
971,245449.1227627294
972,30456.612819425904
973,8597.077188104406
974,71786.19634014009
975,7555.876776173218
976,996.2357965427625
977,126534.6931873901
978,21505.32770925341
979,11237.875082185574
980,5480.345444977973
981,76981.58249717868
982,10132.022364434075
983,65921.62297583457
984,29003.978640742287
985,3137.360038518091
986,43844.92185887877
987,4570.978177809041
988,65512.32033099483
989,4791.255342103806
990,8206.733503122656
991,2323.481641221031
992,6809.187845844195
993,4281.15909423948
994,4020.3304526967345
995,5313.567370761375
996,17781.727402509787
997,10222.0988491703
998,21260.63909759886
999,9406.552887985199
1000,87023.98638854802
1001,23985.951308236912
1002,14841.793973998916
1003,17675.674242145164
1004,965.7742065775948
1005,72624.14375934277
1006,3665.246512064028
1007,5524.91289770809
1008,68653.01740013855
1009,1809.501155936138
1010,1236.1090829346508
1011,7760.9203512964195
1012,29024.767206165252
1013,22233.822166778824
1014,22795.29205617164
1015,30011.07982933898
1016,49705.77033523122
1017,297119.82861524064
1018,52885.083829178024
1019,196510.92665206006
1020,14391.226196808686
1021,79585.75966645451
1022,16672.172559253642
1023,11972.592382282512
1024,31912.93789718862
1025,4418.012369806799
1026,2242.220986397618
1027,32048.534721223736
1028,3539.849149475241
1029,11545.268439521013
1030,22957.95425844125
1031,2718.2347702901475
1032,20054.041344328758
1033,4907.649229845103
1034,5593.295736735471
1035,6532.648921868388
1036,5087.168179160606
1037,3716.1133701960284
1038,5492.448940458422
1039,1371.7978515803336
1040,2071.818095175769
1041,2611.5319268234307
1042,8561.667837898212
1043,13555.554874369436
1044,8811.119130561838
1045,2226.149366805913
1046,787.3954214169652
1047,31981.71375709676
1048,33676.73716368313
1049,27968.350191970178
1050,3000.7999012075056
1051,4915.164144576013
1052,5509.636019153208
1053,5983.872189494637
1054,20487.512439575432
1055,6043.962484075427
1056,212257.2896004359
1057,174904.14510560897
1058,16739.89484353201
1059,16081.812052713074
1060,242671.5778016169
1061,17883.612929313356
1062,102018.0277421293
1063,3957.0824041068754
1064,33985.73278544706
1065,52005.71825346757
1066,31968.689384199
1067,27200.600673325494
1068,2916.0780257038755
1069,225102.61280075816
1070,8588.135583978674
1071,17619.734078003155
1072,10416.58518409485
1073,74296.54760257385
1074,13667.940227538105
1075,17454.98834377456
1076,2877.693834011943
1077,9125.474281587794
1078,21310.5655813385
1079,13532.914351772823
1080,26926.834612361352
1081,33069.411030140254
1082,19335.352466686047
1083,11349.48682425014
1084,6944.2867094886915
1085,26697.99526316819
1086,15530.84921413407
1087,24427.687699261616
1088,1541.0130641629078
1089,8944.91052888633
1090,3475.298610051326
1091,17838.203254954726
1092,10576.960719087401
1093,11411.54978894084
1094,174090.68997748627
1095,1907.142264780105
1096,15811.769256886997
1097,8637.099083491841
1098,40386.88181974812
1099,11036.09415330585
1100,15274.2662317542
1101,89258.5782604916
1102,6047.791768995107
1103,9364.171749392797
1104,20723.045516121754
1105,43389.22258606685
1106,8213.761015894337
1107,11391.691990665115
1108,9625.092800116863
1109,6727.535003417911
1110,6379.148418858396
1111,10211.024581935795
1112,3010.3413391396302
1113,4648.46784922552
1114,12186.677007736125
1115,2525.2966308702576
1116,25774.7860287413
1117,219966.37550563412
1118,70215.49145228135
1119,9344.181149977509
1120,7792.015081430717
1121,19563.98757451886
1122,34560.85816353322
1123,4351.168603292533
1124,23899.293749774057
1125,20818.093913299366
1126,40390.30933847145
1127,9858.766590273914
1128,56057.0697221165
1129,2371.26305309571
1130,10420.436169588
1131,25617.58174655166
1132,63742.114927287985
1133,39096.72335446987
1134,6245.789024496629
1135,61171.09466548061
1136,32803.15316417663
1137,1033.4132422367181
1138,16354.318942480444
1139,6095.459712040605
1140,27275.96790169206
1141,261338.78010037835
1142,5838.349014161421
1143,1331708.4438206549
1144,5928.405023071723
1145,4957.2166896397775
1146,11109.0514070506
1147,11393.559037388688
1148,21037.17249154162
1149,2206.480264238911
1150,1657.0208000691262
1151,7026.666739636722
1152,86690.28252138034
1153,6088.3802648155215
1154,43167.31435488588
1155,126176.25946872262
1156,66412.16273983808
1157,6826.674466581394
1158,16412.55917212802
1159,5489.815417414189
1160,2045.049378036614
1161,3491.6023991784555
1162,18363.14870841724
1163,5705.781183344586
1164,11821.901671690517
1165,15118.374730585021
1166,8985.772624163394
1167,39276.250835290484
1168,36462.89254921931
1169,7890.40487992295
1170,15870.447903141987
1171,1785.3013723202585
1172,16241.800679681537
1173,2584.5356783797615
1174,19959.949043065564
1175,20200.630816315526
1176,5802.57538329487
1177,1585.3900668581553
1178,33172.716037646016
1179,13274.321173807946
1180,3192.1356152131957
1181,242395.39234672257
1182,9718.983244646159
1183,48143.48264449925
1184,171933.10827424502
1185,10478.135984135419
1186,3168.5883964207082
1187,51600.87147146621
1188,4716.813326651201
1189,14832.562118601985
1190,34334.33546225189
1191,4423.350573176833
1192,8053.69865087905
1193,24418.157871241416
1194,9622.16376002939
1195,9954.599949797466
1196,10202.357770921068
1197,8992.730990149852
1198,3768.662635215842
1199,13680.793157091855
1200,35825.32295634541
1201,46919.88832801888
1202,22263.113715039355
1203,6069.523992381197
1204,3942.27482729769
1205,33351.82419249253
1206,21042.757356522114
1207,46336.44032406999
1208,4530.423547018002
1209,21109.536694131813
1210,65211.22696247758
1211,76711.85739941093
1212,3426.924898224147
1213,102226.45166250954
1214,5392.062799917561
1215,5042.221432342559
1216,2857.0725354374404
1217,14532.673665125585
1218,6671.373239665441
1219,63948.325902302386
1220,23525.479277921837
1221,2076.243949661222
1222,7285.169994835466
1223,11226.782792533779
1224,13122.389796811942
1225,11396.18427636586
1226,24986.756636202546
1227,3173.575972235809
1228,2031.756802403292
1229,45343.726709715935
1230,50021.64837975764
1231,6169.219393062722
1232,1787.136427709704
1233,5698.832989367665
1234,18285.923809042833
1235,60243.72150034158
1236,15187.00739274093
1237,127758.78844978959
1238,1823.900700535858
1239,5167.156645099998
1240,63828.31211294509
1241,80012.92885328252
1242,6659.880260537233
1243,4926.789705185466
1244,12836.18472603373
1245,2274.0786729170654
1246,3158.1606723852674
1247,19430.159227011154
